url,brand,title,price,Аккумуляторная батарея__Ёмкость батареи (доступная),Аккумуляторная батарея__Время быстрой зарядки,Аккумуляторная батарея__Время зарядки,Аккумуляторная батарея__Емкость батареи,Аккумуляторная батарея__Запас хода на электричестве,Аккумуляторная батарея__Количество циклов зарядки,Аккумуляторная батарея__Максимальная мощность зарядки,Аккумуляторная батарея__Описание быстрой зарядки,Аккумуляторная батарея__Температурный режим батареи,Аккумуляторная батарея__Тип батареи,Аккумуляторная батарея__Тип разъема для зарядки,Владение__Владельцы,Владение__Во владении,Владение__Гарантия,Владение__Год выпуска,Владение__Госномер,Владение__Налог,Владение__Обмен,Владение__ПТС,Владение__Пробег,Владение__Продажа с НДС,Владение__Состояние,Владение__Таможня,Двигатель__ГРМ,Двигатель__Диаметр цилиндра и ход поршня,Двигатель__Код двигателя,Двигатель__Количество цилиндров,Двигатель__Максимальная мощность,Двигатель__Максимальный крутящий момент,Двигатель__Методика расчета расхода,Двигатель__Объем двигателя,Двигатель__Расположение двигателя,Двигатель__Расположение цилиндров,Двигатель__Система питания двигателя,Двигатель__Степень сжатия,Двигатель__Тип двигателя,Двигатель__Тип наддува,Двигатель__Число клапанов на цилиндр,Общая информация__Класс автомобиля,Общая информация__Количество дверей,Общая информация__Количество мест,Общая информация__Расположение руля,Общая информация__Страна марки,Объём и масса__Объем багажника мин/макс,Объём и масса__Объём топливного бака,Объём и масса__Полная масса,Объём и масса__Снаряженная масса,Подвеска и тормоза__Задние тормоза,Подвеска и тормоза__Передние тормоза,Подвеска и тормоза__Тип задней подвески,Подвеска и тормоза__Тип передней подвески,Размеры__Высота,Размеры__Длина,Размеры__Клиренс,Размеры__Колёсная база,Размеры__Размер колёс,Размеры__Размеры дисков,Размеры__Сверловка,Размеры__Ширина,Размеры__Ширина задней колеи,Размеры__Ширина передней колеи,Трансмиссия__Количество передач,Трансмиссия__Коробка передач,Трансмиссия__Тип привода,Эксплуатационные показатели__Выбросы CO2,Эксплуатационные показатели__Максимальная скорость,Эксплуатационные показатели__Марка топлива,Эксплуатационные показатели__Разгон до 100 км/ч,Эксплуатационные показатели__Расход,"Эксплуатационные показатели__Расход топлива, город/трасса/смешанный",Эксплуатационные показатели__Экологический класс
https://auto.ru/cars/used/sale/audi/e_tron_gt/1130932885-db1f4e1d/,Audi,"Audi e-tron GT I, 2022",10 500 000,83.7 кВт⋅ч,23 мин,,93.4 кВт⋅ч,452 км,,"11.0, 270.0 кВт",До 80% при мощности 270 кВт,,Литий-ионная (Li-ion),"CCS Combo 2, Type 2",1 владелец,,,2022,,0 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,11 500 км,,Не требует ремонта,Растаможен,,,,,530 л.с. (390 кВт),640 Н⋅м,WLTP,,,,,,Электро,,,F,4,5,Левый,Германия,405 л,,2840 кг,2276 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1413 мм,4989 мм,144 мм,2900 мм,"225/55 R19, 275/45 R19",,,1964 мм,1694 мм,1710 мм,,Автомат,Полный,,245 км/ч,,4.1 с,21.6 кВт⋅ч/100 км,,
https://auto.ru/cars/used/sale/xiaomi/yu7/1131346179-29f66fd8/,Xiaomi,"Xiaomi YU7, 2025",8 940 000,,12 мин,,101.7 кВт⋅ч,760 км,,,10-80%,,Литий-никель-марганец-кобальт-оксидная (Li-NMC),"GB/T AC, GB/T DC",1 владелец,3 месяца,,2025,,0 ₽ в год,,Оригинал/Электронный,30 км,,Не требует ремонта,Растаможен,,,,,690 л.с. (508 кВт),866 Н⋅м,CLTC,,,,,,Электро,,,E,5,5,Левый,Китай,1970 л,,2875 кг,2425 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1600 мм,4999 мм,,3000 мм,245/55 R19,,,1996 мм,1700 мм,1694 мм,1,Автомат,Полный,,253 км/ч,,3.23 с,14.6 кВт⋅ч/100 км,,
https://auto.ru/cars/used/sale/bmw/x7/1131494375-160c0d74/,BMW,"BMW X7 40d I (G07) Рестайлинг, 2025",16 300 000,,,,,,,,,,,,1 владелец,,,2025,,51 000 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,12 000 км,,Не требует ремонта,Растаможен,DOHC,84.0x90.0 мм,B57D30,6,340 л.с. (250 кВт) при 4400 об/мин,700 Н⋅м при 2250 об/мин,,2993 см³,"Переднее, продольное",Рядное,Common rail (дизель),16.5,Дизельный,Турбонаддув,4,F,5,"6, 7",Левый,Германия,750/2120 л,80 л,3325 кг,2565 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пневмоэлемент","Независимая, пневмоэлемент",1835 мм,5181 мм,210 мм,3105 мм,275/50 R20,"8.5x20 ET35, 9.5x21 ET36, 9.5x22 ET32, 9.5x22 ET32 / 10.5x22 ET43",DIA66.6 5x112 мм,2000 мм,1705 мм,1684 мм,8,Автомат,Полный,230 г/км,245 км/ч,ДТ,5.9 с,,-/-/8.6 л/100 км,Euro 6
https://auto.ru/cars/used/sale/ssang_yong/kyron/1131622430-8063427c/,SsangYong,"SsangYong Kyron 5-speed I Рестайлинг, 2012",885 000,,,,,,,,,,,,2 владельца,,,2012,******|797,4 935 ₽ в год,,Оригинал/Электронный,155 991 км,,Не требует ремонта,Растаможен,DOHC,86.2x85.6 мм,D20DT,4,141 л.с. (104 кВт) при 4000 об/мин,310 Н⋅м при 2750 об/мин,,1998 см³,"Переднее, продольное",Рядное,Common rail (дизель),17.5,Дизельный,Турбонаддув,4,J,5,5,Левый,Южная Корея,625 л,75 л,2530 кг,1920 кг,Дисковые,Дисковые вентилируемые,"Зависимая, пружинная","Независимая, пружинная",1755 мм,4660 мм,199 мм,2740 мм,"235/75 R16, 225/75 R16, 255/60 R18","7.5x18 ET43, 6.5x16 ET43, 7x16 ET43",DIA84.1 5x130 мм,1880 мм,1570 мм,1570 мм,5,Автомат,Полный,,166 км/ч,ДТ,16.2 с,,10.6/7.1/8.4 л/100 км,
https://auto.ru/cars/used/sale/porsche/cayenne/1130686937-3eeeb46c/,Porsche,"Porsche Cayenne Coupé III Рестайлинг, 2025",17 700 000,,,,,,,,,,,,1 владелец,,,2025,,52 950 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,18 км,,Не требует ремонта,Растаможен,DOHC,84.5x89 мм,,6,353 л.с. (260 кВт) при 6400 об/мин,500 Н⋅м при 4500 об/мин,,2995 см³,"Переднее, продольное",V-образное,Непосредственный впрыск (прямой),11.2,Бензиновый,Турбонаддув,4,E,5,5,Левый,Германия,592/1502 л,75 л,2820 кг,2085 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1678 мм,4930 мм,214 мм,2895 мм,,8.5x19 ET47 / 9.5x19 ET54,DIA71.5 5x130 мм,1983 мм,,,8,Автомат,Полный,247 г/км,248 км/ч,АИ-98,5.7 с,,-/-/10.9 л/100 км,Euro 6
https://auto.ru/cars/used/sale/ferrari/roma/1130686705-344cc940/,Ferrari,"Ferrari Roma Spider, 2025",31 790 000,,,,,,,,,,,,1 владелец,3 месяца,,2025,,93 000 ₽ в год,,Оригинал/Электронный,990 км,,Не требует ремонта,Растаможен,DOHC,86.5x82.0 мм,,8,620 л.с. (456 кВт) при 7500 об/мин,760 Н⋅м при 5250 об/мин,,3855 см³,"Переднее, продольное",V-образное,Непосредственный впрыск (прямой),9.45,Бензиновый,Турбонаддув,4,S,2,2,Левый,Италия,255 л,80 л,,1556 кг,Дисковые вентилируемые,Керамические вентилируемые,"Независимая, пружинная","Независимая, пружинная",1306 мм,4656 мм,100 мм,2670 мм,,,,1974 мм,1679 мм,1652 мм,8,Робот,Задний,,320 км/ч,АИ-98,3.4 с,,,Euro 6
https://auto.ru/cars/used/sale/volvo/xc90/1130393936-8c3d8c3b/,Volvo,"Volvo XC90 II, 2016",3 850 000,,,,,,,,,,,,2 владельца,8 лет и 3 месяца,,2016,******|777,17 625 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,144 500 км,,Не требует ремонта,Растаможен,DOHC,82.0x93.2 мм,D4204T23,4,235 л.с. (165 кВт) при 4000 об/мин,480 Н⋅м при 2500 об/мин,,1969 см³,"Переднее, поперечное",Рядное,Непосредственный впрыск (прямой),15.8,Дизельный,Турбонаддув,4,E,5,"4, 5, 7",Левый,Швеция,310/1899 л,71 л,2570 кг,2052 кг,Дисковые,Дисковые вентилируемые,"Независимая, пружинная","Зависимая, пружинная",1775 мм,4950 мм,237 мм,2984 мм,235/55 R18,"8x18 ET42.5, 8x19 ET42.5, 9x20 ET38.5, 9x21 ET38.5, 9x22 ET38.5",DIA63.4 5x108 мм,2008 мм,1671 мм,1669 мм,8,Автомат,Полный,149 г/км,220 км/ч,ДТ,7.8 с,,6.2/5.4/5.7 л/100 км,Euro 6
https://auto.ru/cars/used/sale/bmw/x5/1131521346-b850708e/,BMW,"BMW X5 30d IV (G05/G18) Рестайлинг, 2023",11 150 000,,,,,,,,,,,,2 владельца,,,2023,******|797,42 750 ₽ в год,,Оригинал/Электронный,27 800 км,,Не требует ремонта,Растаможен,DOHC,84.0x90.0 мм,B57D30,6,286 л.с. (210 кВт) при 4000 об/мин,650 Н⋅м при 2500 об/мин,,2993 см³,"Переднее, продольное",Рядное,Common rail (дизель),16.5,Дизельный,Турбонаддув,4,E,5,"5, 7",Левый,Германия,650/1870 л,80 л,2950 кг,2220 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1745 мм,4935 мм,214 мм,2975 мм,265/50 R19,"9x19 ET38, 9x20 ET35",DIA66.6 5x112 мм,2004 мм,1698 мм,1677 мм,8,Автомат,Полный,215 г/км,233 км/ч,ДТ,6.1 с,,-/-/8.2 л/100 км,Euro 6
https://auto.ru/cars/used/sale/ssang_yong/kyron/1131486586-e4e3f0ce/,SsangYong,"SsangYong Kyron I Рестайлинг, 2011",820 000,,,,,,,,,,,,2 владельца,,,2011,******|190,4 935 ₽ в год,,Оригинал/Электронный,148 188 км,,Не требует ремонта,Растаможен,DOHC,86.2x85.6 мм,D20DT,4,141 л.с. (104 кВт) при 4000 об/мин,310 Н⋅м при 2750 об/мин,,1998 см³,"Переднее, продольное",Рядное,Common rail (дизель),17.5,Дизельный,Турбонаддув,4,J,5,5,Левый,Южная Корея,625 л,75 л,2530 кг,1893 кг,Дисковые,Дисковые вентилируемые,"Зависимая, пружинная","Независимая, пружинная",1755 мм,4660 мм,199 мм,2740 мм,"235/75 R16, 225/75 R16, 255/60 R18","7.5x18 ET43, 6.5x16 ET43, 7x16 ET43",DIA84.1 5x130 мм,1880 мм,1570 мм,1570 мм,5,Механика,Полный,,167 км/ч,ДТ,16.2 с,,9.9/6.3/7.7 л/100 км,
https://auto.ru/cars/used/sale/hyundai/avante/1130687643-2bbf1f7a/,Hyundai,"Hyundai Avante VII Рестайлинг, 2025",2 190 000,,,,,,,,,,,,1 владелец,3 месяца,,2025,,3 444 ₽ в год,,Оригинал/Электронный,1 990 км,,Не требует ремонта,Растаможен,DOHC,75.6x89.0 мм,G4FM,4,123 л.с. (90 кВт) при 6300 об/мин,154 Н⋅м при 4500 об/мин,,1598 см³,"Переднее, поперечное",Рядное,Распределенный впрыск (многоточечный),11.2,Бензиновый,нет,4,C,4,5,Левый,Южная Корея,474 л,47 л,,1250 кг,Дисковые,Дисковые вентилируемые,"Полунезависимая, пружинная","Независимая, пружинная",1420 мм,4710 мм,150 мм,2720 мм,195/65 R15,,,1825 мм,1590 мм,1579 мм,,Вариатор,Передний,115 г/км,,АИ-92,,,7.3/5.6/6.5 л/100 км,
https://auto.ru/cars/used/sale/lynk_co/900/1130899443-ad78a0b7/,Lynk & Co,"Lynk & Co 900, 2025",7 740 000,,17 мин,,52.38 кВт⋅ч,220 км,,,От 20 до 80% за 17 минут,,Литий-никель-марганец-кобальт-оксидная (Li-NMC),"GB/T AC, GB/T DC",1 владелец,,,2025,,110 100 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,19 км,,Не требует ремонта,Растаможен,DOHC,82.0x93.2 мм,JLH-4G20TDC,4,734 л.с. (540 кВт) при 5500 об/мин,1038 Н⋅м при 4800 об/мин,WLTP,1969 см³,"Переднее, поперечное",Рядное,Непосредственный впрыск (прямой),10.8,Гибридный,Турбонаддув,4,F,5,6,Левый,Китай,225/1070 л,60 л,3345 кг,2810 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пневмоэлемент","Независимая, пневмоэлемент",1810 мм,5240 мм,194 мм,3160 мм,275/45 R21,,,1999 мм,1724 мм,1722 мм,3,Автомат,Полный,,240 км/ч,АИ-95,4.6 с,22.9 кВт⋅ч/100 км,,
https://auto.ru/cars/used/sale/skoda/kodiaq/1131103768-3b2e216f/,Skoda,"Skoda Kodiaq I, 2019",2 515 000,,,,,,,,,,,,1 владелец,,,2019,******|750,5 250 ₽ в год,Рассмотрю варианты,,114 000 км,,Не требует ремонта,Растаможен,DOHC,81.0x95.5 мм,DFGA,4,150 л.с. (110 кВт) при 4000 об/мин,340 Н⋅м при 3000 об/мин,,1968 см³,"Переднее, поперечное",Рядное,Common rail (дизель),16.2,Дизельный,Турбонаддув,4,D,5,"5, 7",Левый,Чехия,635/2065 л,58 л,2352 кг,1752 кг,Дисковые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1655 мм,4697 мм,187 мм,2791 мм,"215/65 R17, 235/55 R18","7.5x19 ET45, 7x17 ET40, 7x18 ET43, 8x20 ET41",DIA57.1 5x112 мм,1882 мм,1576 мм,1586 мм,7,Робот,Полный,147 г/км,194 км/ч,ДТ,10.0 с,,6.7/5.1/5.6 л/100 км,Euro 6
https://auto.ru/cars/used/sale/ford/fusion/1131526000-0d956a2f/,Ford,"Ford Fusion I Рестайлинг, 2011",625 000,,,,,,,,,,,,2 владельца,,,2011,******|77,1 300 ₽ в год,,Оригинал/Электронный,127 001 км,,Не требует ремонта,Растаможен,DOHC,79.0x81.4 мм,"FYJA, FYJB",4,101 л.с. (74 кВт) при 6000 об/мин,146 Н⋅м при 4000 об/мин,,1596 см³,"Переднее, поперечное",Рядное,Распределенный впрыск (многоточечный),11,Бензиновый,нет,4,B,5,5,Левый,США,337/1175 л,45 л,1605 кг,1090 кг,Барабанные,Дисковые вентилируемые,"Полунезависимая, пружинная","Независимая, пружинная",1543 мм,4013 мм,160 мм,2486 мм,"185/60 R14, 195/60 R15","5.5x14 ET47.5, 6x15 ET52.5",DIA63.3 4x108 мм,1724 мм,1445 мм,1487 мм,5,Механика,Передний,157 г/км,178 км/ч,АИ-95,11.1 с,,8.9/5.3/6.6 л/100 км,
https://auto.ru/cars/used/sale/bmw/x6/1131236300-fe783db1/,BMW,"BMW X6 M50d III (G06), 2020",7 600 000,,,,,,,,,,,,1 владелец,1 год и 4 месяца,,2020,******|977,59 850 ₽ в год,,Оригинал/Электронный,91 800 км,,Не требует ремонта,Растаможен,DOHC,84.0x90.0 мм,B57D30,6,400 л.с. (294 кВт) при 4400 об/мин,760 Н⋅м при 3000 об/мин,,2993 см³,"Переднее, продольное",Рядное,Common rail (дизель),16,Дизельный,Турбонаддув,4,E,5,5,Левый/Правый,Германия,580/1530 л,80 л,3010 кг,2260 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1696 мм,4935 мм,216 мм,2975 мм,,"9.5x21 ET37 / 10.5x21 ET43, 9.5x22 ET37 / 10.5x22 ET43, 9x19 ET38, 9x20 ET35, 9x20 ET35 / 10.5x20 ET40",DIA66.6 5x112 мм,2004 мм,1688 мм,1678 мм,8,Автомат,Полный,190 г/км,250 км/ч,ДТ,5.2 с,,8.1/6.8/7.2 л/100 км,Euro 6
https://auto.ru/cars/used/sale/bmw/xm/1131493802-c7a4eaea/,BMW,"BMW XM 50e, 2025",18 700 000,25.7 кВт⋅ч,,,29.5 кВт⋅ч,83 км,,7.4 кВт,,,Литий-ионная (Li-ion),Type 2,1 владелец,,,2025,******|15,58 500 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,14 000 км,,Не требует ремонта,Растаможен,DOHC,82.0x94.6 мм,,6,476 л.с. (350 кВт) при 6500 об/мин,700 Н⋅м при 4700 об/мин,WLTP,2998 см³,"Переднее, продольное",Рядное,Непосредственный впрыск (прямой),11,Гибридный,Турбонаддув,4,F,5,5,Левый,Германия,527/1820 л,69 л,3220 кг,2620 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1755 мм,5110 мм,220 мм,3105 мм,,,,2005 мм,1690 мм,1726 мм,8,Автомат,Полный,37 г/км,250 км/ч,АИ-98,5.1 с,32.2 кВт⋅ч/100 км,-/-/1.7 л/100 км,Euro 6
https://auto.ru/cars/used/sale/land_rover/range_rover/1130276536-b0efa3c4/,Land Rover,"Land Rover Range Rover P400 MHEV Long V, 2025",23 980 000,,,,,,,,,,,,1 владелец,1 год и 2 месяца,,2025,,60 000 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,15 км,,Не требует ремонта,Растаможен,DOHC,83.0x92.29 мм,,6,400 л.с. (294 кВт) при 6500 об/мин,550 Н⋅м при 5000 об/мин,,2996 см³,"Переднее, продольное",Рядное,Непосредственный впрыск (прямой),10.5,Бензиновый,Компрессор,4,J,5,"5, 7",Левый,Великобритания,818/2176 л,90 л,3350 кг,2519 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пневмоэлемент","Независимая, пневмоэлемент",1870 мм,5252 мм,219-294 мм,3197 мм,"275/50 R21, 285/45 R22",,,2048 мм,1704 мм,1702 мм,8,Автомат,Полный,213 г/км,242 км/ч,АИ-95,5.9 с,,-/-/9.6 л/100 км,Euro 6
https://auto.ru/cars/used/sale/toyota/avensis/1130291085-9f0bc0f8/,Toyota,"Toyota Avensis III Рестайлинг, 2011",1 350 000,,,,,,,,,,,,1 владелец,14 лет и 2 месяца,,2011,******|197,5 145 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,238 000 км,,Не требует ремонта,Растаможен,DOHC,80.5x88.3 мм,2ZR-FAE,4,147 л.с. (108 кВт) при 6400 об/мин,180 Н⋅м при 4000 об/мин,,1798 см³,"Переднее, поперечное",Рядное,Распределенный впрыск (многоточечный),10.5,Бензиновый,нет,4,D,4,5,Левый/Правый,Япония,509 л,60 л,1950 кг,1440 кг,Дисковые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1480 мм,4695 мм,140 мм,2700 мм,205/60 R16,"6.5x16 ET39, 7.5x18 ET45, 7x17 ET45",DIA60.1 5x114.3 мм,1810 мм,1560 мм,1560 мм,,Вариатор,Передний,157 г/км,200 км/ч,АИ-95,10.4 с,,8.6/5.6/6.7 л/100 км,Euro 4
https://auto.ru/cars/used/sale/ford/fusion/1131621437-103c216b/,Ford,"Ford Fusion I Рестайлинг, 2008",495 000,,,,,,,,,,,,2 владельца,,,2008,******|134,1 040 ₽ в год,,Оригинал/Электронный,118 000 км,,Не требует ремонта,Растаможен,DOHC,76.0x76.5 мм,"FXJA, FXJB",4,80 л.с. (59 кВт) при 5700 об/мин,124 Н⋅м при 3500 об/мин,,1388 см³,"Переднее, поперечное",Рядное,Распределенный впрыск (многоточечный),11,Бензиновый,нет,4,B,5,5,Левый,США,337/1175 л,45 л,1605 кг,1085 кг,Барабанные,Дисковые вентилируемые,"Полунезависимая, пружинная","Независимая, пружинная",1543 мм,4013 мм,160 мм,2486 мм,"195/60 R15, 185/60 R14","5.5x14 ET47.5, 6x15 ET52.5",DIA63.3 4x108 мм,1724 мм,1445 мм,1487 мм,5,Механика,Передний,154 г/км,163 км/ч,АИ-95,14.0 с,,8.5/5.3/6.5 л/100 км,
https://auto.ru/cars/used/sale/land_rover/defender/1130989066-02f9fe83/,Land Rover,"Land Rover Defender 110 II, 2021",5 710 000,,,,,,,,,,,,2 владельца,,,2021,******|797,9 950 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,66 500 км,,Не требует ремонта,Растаможен,DOHC,83x92.4 мм,D200,4,200 л.с. (147 кВт) при 4000 об/мин,430 Н⋅м при 1400 об/мин,,1999 см³,"Переднее, продольное",Рядное,Common rail (дизель),15.5,Дизельный,Турбонаддув,4,J,5,"5, 7",Левый,Великобритания,1075/2380 л,89 л,3150 кг,2323 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пневмоэлемент","Независимая, пневмоэлемент",1967 мм,5018 мм,218-291 мм,3022 мм,"255/60 R20, 255/65 R19, 255/70 R18","8.5x20 ET41.5, 8x18 ET41.5, 8x19 ET41.5",DIA72.6 5x120 мм,1996 мм,1670 мм,1704 мм,8,Автомат,Полный,204 г/км,175 км/ч,ДТ,10.3 с,,8.7/7.2/7.7 л/100 км,Euro 6
https://auto.ru/cars/used/sale/nissan/x_trail/1131468691-950179c8/,Nissan,"Nissan X-Trail II Рестайлинг, 2013",1 350 000,,,,,,,,,,,,2 владельца,12 лет и 3 месяца,До апреля 2026,2013,******|198,8 450 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,200 900 км,,Не требует ремонта,Растаможен,DOHC,89x100 мм,QR25DE,4,169 л.с. (124 кВт) при 6000 об/мин,233 Н⋅м при 4400 об/мин,,2488 см³,"Переднее, поперечное",Рядное,Распределенный впрыск (многоточечный),9.5,Бензиновый,нет,4,D,5,5,Левый/Правый,Япония,479/1773 л,65 л,2050 кг,1565 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1700 мм,4636 мм,210 мм,2630 мм,"225/55 R18, 225/60 R17","7x17 ET40, 7x18 ET40",DIA66.1 5x114.3 мм,1790 мм,1545 мм,1540 мм,,Вариатор,Полный,214 г/км,182 км/ч,АИ-95,10.3 с,,11.5/7.7/9.1 л/100 км,
https://auto.ru/cars/used/sale/toyota/corolla/1131586422-7dad3d89/,Toyota,"Toyota Corolla VII (E100), 1996",157 000,,,,,,,,,,,,3 владельца,,,1996,******|797,988 ₽ в год,Рассмотрю варианты,Дубликат,419 000 км,,Не требует ремонта,Растаможен,DOHC,74x77.4 мм,4E-FE,4,75 л.с. (55 кВт) при 5400 об/мин,115 Н⋅м при 4100 об/мин,,1331 см³,"Переднее, поперечное",Рядное,Распределенный впрыск (многоточечный),9.6,Бензиновый,нет,2,C,4,5,Левый/Правый,Япония,419 л,55 л,1560 кг,990 кг,Барабанные,Дисковые вентилируемые,"Полунезависимая, пружинная","Независимая, пружинная",1379 мм,4270 мм,130 мм,2461 мм,165/70 R14,"5.5x14 ET45, 5.5x15 ET45, 5x14 ET45, 6x14 ET45, 6x15 ET39",DIA54.1 4x100 мм,1679 мм,1450 мм,1461 мм,5,Механика,Передний,,170 км/ч,АИ-92,12.8 с,,8.8/6.2/6.7 л/100 км,
https://auto.ru/cars/used/sale/vaz/granta/1129355847-4bb546f3/,Lada (ВАЗ),"Lada (ВАЗ) Granta Sport I Рестайлинг, 2024",1 310 000,,,,,,,,,,,,1 владелец,,,2024,******|550,3 276 ₽ в год,,Оригинал/Электронный,3 800 км,Возможен налоговый вычет для юридических лиц,Не требует ремонта,Растаможен,DOHC,82.0x75.6 мм,ВАЗ-21127,4,118 л.с. (87 кВт) при 5900 об/мин,151 Н⋅м при 5000 об/мин,,1596 см³,"Переднее, поперечное",Рядное,Распределенный впрыск (многоточечный),11,Бензиновый,нет,4,B,4,5,Левый,Россия,520/815 л,50 л,1560 кг,1090 кг,Дисковые,Дисковые вентилируемые,"Полунезависимая, пружинная","Независимая, пружинная",1450 мм,4268 мм,160 мм,2482 мм,195/50 R16,,,1700 мм,1426 мм,1434 мм,5,Механика,Передний,,190 км/ч,АИ-95,10.0 с,,8.7/6.0/7.0 л/100 км,
https://auto.ru/cars/used/sale/mercedes/v_klasse/1129900096-d7806b3b/,Mercedes-Benz,"Mercedes-Benz V-Класс Extra Long 300 экстра длинный III (W447) Рестайлинг 2, 2026",12 670 000,,,,,,,,,,,,1 владелец,2 месяца,,2026,,17 325 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,200 км,,Не требует ремонта,Растаможен,DOHC,83.0x92.0 мм,,4,231 л.с. (170 кВт) при 5500 об/мин,370 Н⋅м,WLTP,1999 см³,"Переднее, продольное",Рядное,Непосредственный впрыск (прямой),10,Бензиновый,Турбонаддув,4,M,5,"6, 7, 8",Левый/Правый,Германия,1410/5010 л,70 л,3100 кг,2310 кг,Дисковые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1901 мм,5370 мм,160 мм,3430 мм,"225/55 R17, 245/45 R19",,,1928 мм,,,9,Автомат,Задний,227 г/км,,АИ-95,,,13.3/8.5/10.0 л/100 км,Euro 6
https://auto.ru/cars/used/sale/mercedes/v_klasse/1129916474-7b51e3ce/,Mercedes-Benz,"Mercedes-Benz V-Класс Extra Long 300 экстра длинный III (W447) Рестайлинг 2, 2026",12 130 000,,,,,,,,,,,,1 владелец,2 месяца,,2026,,17 325 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,200 км,,Не требует ремонта,Растаможен,DOHC,83.0x92.0 мм,,4,231 л.с. (170 кВт) при 5500 об/мин,370 Н⋅м,WLTP,1999 см³,"Переднее, продольное",Рядное,Непосредственный впрыск (прямой),10,Бензиновый,Турбонаддув,4,M,5,"6, 7, 8",Левый/Правый,Германия,1410/5010 л,70 л,3100 кг,2310 кг,Дисковые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1901 мм,5370 мм,160 мм,3430 мм,"225/55 R17, 245/45 R19",,,1928 мм,,,9,Автомат,Задний,227 г/км,,АИ-95,,,13.3/8.5/10.0 л/100 км,Euro 6
https://auto.ru/cars/used/sale/bmw/x5/1131019139-ce5fa9cf/,BMW,"BMW X5 Long 30Li IV (G05/G18) Рестайлинг, 2025",8 499 000,,,,,,,,,,,,,,,2025,,38 700 ₽ в год,Рассмотрю варианты,,50 км,,Не требует ремонта,"Растаможен, нет ПТС",DOHC,82.0x94.6 мм,B48B20,4,258 л.с. (190 кВт) при 5000 об/мин,400 Н⋅м при 4500 об/мин,,1998 см³,"Переднее, продольное",Рядное,Непосредственный впрыск (прямой),10.2,Бензиновый,Турбонаддув,4,E,5,5,Левый,Германия,2070 л,83 л,2790 кг,2157 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1776 мм,5060 мм,,3105 мм,"275/40 R21, 275/45 R20, 305/40 R20, 315/35 R21",,,2004 мм,1706 мм,1684 мм,8,Автомат,Полный,,222 км/ч,АИ-95,7.2 с,,-/-/8.7 л/100 км,
https://auto.ru/cars/used/sale/mercedes/v_klasse/1129900136-cfb6146a/,Mercedes-Benz,"Mercedes-Benz V-Класс Extra Long 300 экстра длинный III (W447) Рестайлинг 2, 2026",10 960 000,,,,,,,,,,,,1 владелец,2 месяца,,2026,,17 325 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,200 км,,Не требует ремонта,Растаможен,DOHC,83.0x92.0 мм,,4,231 л.с. (170 кВт) при 5500 об/мин,370 Н⋅м,WLTP,1999 см³,"Переднее, продольное",Рядное,Непосредственный впрыск (прямой),10,Бензиновый,Турбонаддув,4,M,5,"6, 7, 8",Левый/Правый,Германия,1410/5010 л,70 л,3100 кг,2310 кг,Дисковые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1901 мм,5370 мм,160 мм,3430 мм,"225/55 R17, 245/45 R19",,,1928 мм,,,9,Автомат,Задний,227 г/км,,АИ-95,,,13.3/8.5/10.0 л/100 км,Euro 6
